DataSourceID,DataSourceName,DataSourceCode,DataSourceDescription,DataSourceTypeID,SequenceNo,FirstRowUpload,ExternalFunctionName,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,DeletedDate,DeletedBy,EndPoint,Method,Body,TimeOut,IsActive,MessageSuccess,IsHistorical,IndeksKTP,IndeksNPWP,IndeksForeignKey
1,CBS,CBS,CBS,1,1,0,NULL,12/12/2016 0:00,1,1/11/2019 10:54,edo,NULL,NULL,,,,0,0,,0,0,0,0
2,Lembaga Kebijakan Pengadaan Barang Jasa Pemerintah,LKPP,Daftar Hitam Rekanan Pemerintah,2,2,0,NULL,12/12/2016 0:00,1,2/9/2019 0:30,achmad.jabbar,NULL,NULL,,,,0,1,,0,0,2,0
3,Asosiasi Perusahaan Pembiayaan Indonesia,APPI,APPI - Penghapusbukuan Pinjaman,2,3,0,NULL,12/12/2016 0:00,1,8/24/2022 14:21,ahmad.fikri,NULL,NULL,,,NULL,0,1,,0,1,2,0
4,Mahkamah Agung,MA,MA - Publikasi Putusan Pailit & Wanprestasi,2,4,0,NULL,12/12/2016 0:00,1,2/9/2019 0:31,achmad.jabbar,NULL,NULL,,,NULL,0,1,,1,0,2,0
5,Telkom,TLKM,Telkom,2,5,1,1,12/12/2016 0:00,1,1/11/2019 10:36,edo,NULL,NULL,1,1,1,4,0,5,0,0,0,0
6,Ditjen Pajak,DJP,Ditjen Pajak - Data NPWP,2,6,0,NULL,12/12/2016 0:00,1,7/9/2021 20:03,Hafit,NULL,NULL,https://ex-1.pajak.go.id/djpws/npwp/@NoNPWP/@Token,GET,,30000,1,JENIS_WP,0,0,1,0
7,PT Pemeringkat Efek Indonesia,PCR,PEFINDO Rating - Publikasi Peringkat Perusahaan,2,7,0,NULL,12/12/2016 0:00,1,2/9/2019 0:31,achmad.jabbar,NULL,NULL,,,NULL,0,1,,0,0,1,0
8,BPJS Ketenagakerjaan,BPJSTKBU,BPJS Ketenagakerjaan-Status Kepesertaan Perusahaan,2,8,0,NULL,12/12/2016 0:00,1,2/9/2019 0:31,achmad.jabbar,NULL,NULL,,,NULL,0,1,,0,0,6,0
9,Bursa Efek Indonesia,BEI,BEI - Publikasi Perusahaan Emiten,2,9,0,NULL,12/12/2016 0:00,1,8/24/2022 14:26,achmad.jabbar,NULL,NULL,,,NULL,0,1,,0,0,2,0
10,TASPEN,TASPEN,TASPEN - Info PNS & Pensiunan,3,10,0,NULL,12/12/2016 0:00,1,1/24/2020 14:29,ahmad.fikri,NULL,NULL,https://taspen.pefindobirokredit.com/taspen/getdata?nik=@NoKTP,GET,,0,1,nomor_ktp,0,15,0,0
11,BEI - Laporan Keuangan BANK,BEIBANK,BEI - Publikasi Laporan Keuangan Perbankan,2,11,1,NULL,4/3/2017 0:00,1,4/3/2017 0:00,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0,0,2,0
12,BEI - Laporan Keuangan Bank Neraca,IDXBANKNRC,BEI - Laporan Keuangan Bank Neraca,2,12,1,NULL,4/3/2017 0:00,1,4/3/2017 0:00,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0,0,2,0
